Album,Album Release year,AlbumID
"Legends",2025,1
"Hordes of Khan",2025,2
"Templars",2025,3
"Stories From The Western Front",2023,4
"Heroes of The Great War",2023,5
"Weapons Of The Modern Age",2022,6
"The War To End All Wars",2022,7
"Steel Commanders",2021,8
"Kingdom Come",2021,9
"Defence Of Moscow",2021,10
"The Royal Guard",2021,11
"Livgardet",2021,12
"The Attack Of The Dead Men ft. Radio Tapok",2020,13
"Angels Calling ft. Apocalyptica",2020,14
"The Great War",2019,15
"Bismarck",2019,16
"The Last Stand",2016,17
"Heroes",2014,18
"Carolus Rex",2012,19
"Coat Of Arms",2010,20
"The Art Of War",2008,21
"Metalizer",2007,22
"Attero Dominatus",2006,23
"Primo Victoria",2005,24
