Concert,Date,Venue,Location,Index
"Sabaton",2026-03-08 00:00:00.000,"The Fillmore Detroit","Detroit, Michigan, United States",2095
"Sabaton",2026-03-10 00:00:00.000,"UPMC Events Center","Coraopolis, Pennsylvania, United States",2094
"Sabaton",2026-03-11 00:00:00.000,"The Met Philadelphia","Philadelphia, Pennsylvania, United States",2093
"Sabaton",2026-03-12 00:00:00.000,"MGM Music Hall at Fenway","Boston, Massachusetts, United States",2092
"Sabaton",2026-03-14 00:00:00.000,"The Dome","Virginia Beach, Virginia, United States",2090
"Sabaton",2026-03-15 00:00:00.000,"The Theater at Mgm National Harbor","Oxon Hill, Maryland, United States",2089
"Sabaton",2026-03-17 00:00:00.000,"Greensboro Complex","Greensboro, North Carolina, United States",2088
"Sabaton",2026-03-18 00:00:00.000,"Coca-Cola Roxy, The Battery Atlanta","Atlanta, Georgia, United States",2087
"Sabaton",2026-04-06 00:00:00.000,"Scotiabank Centre","Halifax, Nova Scotia, Canada",2086
"Sabaton",2026-04-09 00:00:00.000,"Place Bell","Laval, Quebec, Canada",2085
"Sabaton",2026-04-17 00:00:00.000,"Edmonton Convention Centre","Edmonton, Alberta, Canada",2082
"Sabaton",2026-04-20 00:00:00.000,"PNE Forum","Vancouver, British Columbia, Canada",2080
"Sabaton",2025-12-09 00:00:00.000,"Royal Arena","Copenhagen, Capital Region, Denmark",2073
"Sabaton",2025-12-11 00:00:00.000,"Unity Arena","Farnebu, Bærum, Norway",2072
"Sabaton",2025-12-12 00:00:00.000,"Scandinavium","Gothenburg, Västra Götaland, Sweden",2071
"Sabaton",2025-12-13 00:00:00.000,"Tele2 Arena","Stockholm, Stockholm, Sweden",2070
"Sabaton",2026-02-09 00:00:00.000,"FTL War Memorial Auditorium","Fort Lauderdale, Florida, United States",2069
"Sabaton",2026-02-13 00:00:00.000,"713 Music Hall","Houston, Texas, United States",2067
"Sabaton",2026-02-14 00:00:00.000,"South Side Ballroom","Dallas, Texas, United States",2066
"Sabaton",2026-02-15 00:00:00.000,"Boeing Center at Tech Port","San Antonio, Texas, United States",2065
"Sabaton",2026-02-20 00:00:00.000,"Kia Forum","Inglewood, California, United States",2063
"Sabaton",2026-02-21 00:00:00.000,"Hard Rock Live Sacramento","Wheatland, California, United States",2062
"Sabaton",2026-02-24 00:00:00.000,"The Union Event Center","Salt Lake City, Utah, United States",2061
"Sabaton",2026-02-26 00:00:00.000,"Blue Arena","Loveland, Colorado, United States",2060
"Sabaton",2026-02-27 00:00:00.000,"Steelhouse Omaha","Omaha, Nebraska, United States",2059
"Sabaton",2026-02-28 00:00:00.000,"The Factory","Chesterfield, Missouri, United States",2058
"Sabaton",2026-03-02 00:00:00.000,"Vibrant Music Hall","Waukee, Iowa, United States",2057
"Sabaton",2026-03-03 00:00:00.000,"Armory","Minneapolis, Minnesota, United States",2056
"Sabaton",2026-03-07 00:00:00.000,"Andrew J. Brady Music Center","Cincinnati, Ohio, United States",2054
"Sabaton",2025-09-10 00:00:00.000,"The Powerstation","Auckland, Auckland, New Zealand",2053
"Sabaton",2025-10-06 00:00:00.000,"Zorlu Performing Arts Center","Istanbul, Istanbul, Turkey",2052
"Sabaton",2025-11-14 00:00:00.000,"Lanxess Arena","Cologne, North Rhine-Westphalia, Germany",2051
"Sabaton",2025-11-15 00:00:00.000,"Uber Arena","Berlin, Berlin, Germany",2050
"Sabaton",2025-11-16 00:00:00.000,"Ostravar Arena","Ostrava, Moravian-Silesian, Czech Republic",2049
"Sabaton",2025-11-18 00:00:00.000,"Hallenstadion Zürich","Zurich, Zurich, Switzerland",2048
"Sabaton",2025-11-21 00:00:00.000,"Halle D, Wiener Stadthalle","Vienna, Vienna, Austria",2046
"Sabaton",2025-11-22 00:00:00.000,"Tauron Arena Kraków","Kraków, Lesser Poland, Poland",2045
"Sabaton",2025-11-24 00:00:00.000,"Hanns-Martin-Schleyer-Halle","Stuttgart, Baden-Württemberg, Germany",2044
"Sabaton",2025-11-25 00:00:00.000,"Festhalle Messe Frankfurt","Frankfurt am Main, Hesse, Germany",2043
"Sabaton",2025-11-26 00:00:00.000,"Rockhal","Esch-sur-Alzette, Esch-sur-Alzette, Luxembourg",2042
"Sabaton",2025-11-28 00:00:00.000,"Accor Arena","Paris, Île-de-France, France",2041
"Sabaton",2025-11-29 00:00:00.000,"LDLC Arena","Décines-Charpieu, Auvergne-Rhône-Alpes, France",2040
"Sabaton",2025-12-02 00:00:00.000,"AFAS Dome","Antwerp, Flanders, Belgium",2038
"Sabaton",2025-12-04 00:00:00.000,"The O2","London, England, United Kingdom",2037
