Date,Year,Event,Event description,Period_ID,SongID,EventID
1988-01-07 00:00:00.000,"- 1988","The Battle for Hill 3234","The Battle for Hill 3234 was fought by Soviet Troops in Afghanistan to secure an important strategic road. 39 Soviets faced 250 well-armed Mujahideen rebels over the course of two days, suffering heavy casualties but ultimately prevailing.",8,54,1
1521-01-14 00:00:00.000,"- 1521","The Royal Guard was formed","The Livgarde (Royal Guard) represents one of Europe’s oldest extant military formations. Their existence dates back to the origins of modern Sweden itself. In the present day, they are now modernised and mechanised, but at the core, they haven’t changed.",10,41,2
1713-02-01 00:00:00.000,"- 1713","The skirmish at Bender","In exile, King Karl XII and his Swedes had been guests of the Ottoman Sultan Ahmed III for nearly three and a half years. They had outstayed their welcome and the skirmish at Bender commenced. It was all deemed a misunderstanding that led to the fight and the tragic loss of men.",10,41,3
1719-01-16 00:00:00.000,"- 1719","Final Carolean death march survivors return home","After Carolus Rex was killed, Carolean soldiers were ordered to retreat home to Sweden. An ill-fated decision to march 6,000 defeated troops across Norway’s Tydal mountains resulted in almost two thirds of the men freezing to death on their journey.",3,83,5
0480-08-11 00:00:00.000,"- 480","Death of King Leonidas","At the legendary Battle of Thermopylae in Ancient Greece, King Leonidas and a small number of soldiers – including 300 of his warriors from the state of Sparta – died making an heroic last stand against an invading force of around 100,000 Persians.",1,48,6
1918-01-28 00:00:00.000,"- 1918","John McCrae dies","John McCrae was a military doctor and a Major of the 1st Brigade of Canadian Field Artillery. His famous poem, 'In Flanders Fields' immortalised the dying in Flanders and the Great War. He wrote this poem after witnessing the death of a dear friend. The poppy flowers he wrote of became the universal symbol of remembrance.",5,46,7
1877-01-29 00:00:00.000,"- 1877","Satsuma Rebellion begins","The Satsuma Rebellion was the last revolt of the samurai against the imperial government of emperor Meiji. Ending with the famous Battle of Shiroyama, the uprising marks the final chapter of Japan’s most famous warriors.",4,55,8
1913-02-06 00:00:00.000,"- 1913","Yevdokiya Bershanskaya born","Major Yevdokia Bershanskaya was commander of the 588th Night Bomber Regiment of the Soviet Air Force – the all-female regiment known as the Night Witches, who carried out stealthy anti-German bombing activity from 1942 until the end of WWII.",7,60,9
1941-10-08 00:00:00.000,"- 1941","Stalin orders deployment of Night Witches","Women were originally barred from combat in the Soviet Union, until Josef Stalin ordered the deployment of three female flying regiments, one of which was the 588th Night Bomber Regiment, nicknamed the ""Night Witches"" for their stealthy attacks.",7,60,10
1916-07-01 00:00:00.000,"- 1916","The Battle of the Somme","The Battle of the Somme was one of the Great War’s bloodiest battles. It took place from July 1 and November 18, 1916, between the armies of the British and the French against the German Empire.",5,12,99
1914-08-11 00:00:00.000,"- 1914","First call for British volunteer soldiers","When the First World War broke out, thousands of volunteers flocked to army recruitment offices of their respective armies to do their bit for their countries and be part of what they thought would be a short, grand adventure. A sizable portion of these volunteers were young teenagers and underage boys aged 13-16, who would sadly never return home.",5,12,100
1945-12-24 00:00:00.000,"- 1945","Lemmy was born","On December 24, 1945, Ian Fraser Kilmister, known as the legendary Lemmy, was born in England. He was the founder, lead singer, bassist and main songwriter of Motörhead, one of the most influential bands in music history. Lemmy died on December 28, 2015, at the age of 70.",5,12,101
1906-02-10 00:00:00.000,"- 1906","The HMS Dreadnought was launched","In 1906, the HMS Dreadnought was officially launched at sea. This mighty battleship was armed with greater speed, greater range and larger guns than any other vessel. In battle, it would remain untouched, staying out of range of the lighter guns of its foes.",5,28,13
1914-07-28 00:00:00.000,"- 1914","World War I begins","The Great War began in July 1914 and concluded in November 1918. It was the very first global conflict that spanned multiple continents and oceans from Europe, Africa and Asia to the Indian Ocean, and North and South Atlantic Oceans. Territory was lost, and gained, empires crumbled and millions sacrificed their lives to fight.",5,13,63
1314-06-23 00:00:00.000,"- 1314","Battle of Bannockburn begins","Scotland was embroiled in a war with England for its independence when the Scots besieged Stirling Castle. The mighty English force that was sent to end the siege was humiliated at Bannockburn by a much smaller Scottish army, led by Robert the Bruce.",2,49,14
1913-06-02 00:00:00.000,"- 1913","The 369th Infantry Regiment was constituted","In 1918, the Harlem Hellfighters were assigned to fight in WW1 alongside the French army. This regiment was mainly made up of African American soldiers, and they were not allowed to fight alongside the ordinary American soldiers.",5,14,61
1706-02-13 00:00:00.000,"- 1706","The Battle of Fraustadt","Fraustadt was one of Sweden’s greatest victories in the Great Northern War, when the Swedes – outnumbered by more than 2:1 – used a perfectly-devised pincer movement tactic to entrap their opponents and capture or kill three quarters of their force.",3,80,15
1917-07-31 00:00:00.000,"- 1917","Battle of Passchendaele begins","The Battle of Passchendaele was one of WWI's major campaigns on the western front. Raging from July 31 to November 10, 1917, the fights between Allied forces and the Germans in Flanders accounted for over half a million deaths.",5,15,47
1916-02-21 00:00:00.000,"- 1916","The Battle of Verdun Begins","The Battle of Verdun lasted over 300 days. It was the longest battle of the First World War, and for many of the war’s soldiers, it was the epitome of brutal, mechanised modern war. For a few kilometres of land, hundreds of thousands of men lost their lives.",5,16,17
1914-10-16 00:00:00.000,"- 1914","Battle of the Yser begins","The Battle of the Yser, which took place during WWI, began on October 16, 1914. The Entente and the Belgians successfully crushed the Germans’ hopes of continuing the Schlieffen Plan. Each attempt was foiled by entrenched machine guns and artillery, as well as by the deliberate flooding of the Yser Canal, which affected the German trenches.",5,17,73
1918-06-01 00:00:00.000,"- 1918","The Battle of Belleau Wood begins","During the Battle of Belleau Wood, US Marines had taken the fight to the enemy and were ready to accept heavy casualties to achieve victory against the Germans. The ferocity of the attack earned them the name 'Devil Dogs'.",5,18,60
1719-02-26 00:00:00.000,"- 1719","Charles XII buried at Riddarholmen Church","Nearly three months after his death at the Siege of Fredriksten, King Charles XII (Carolus Rex) was buried at Riddarholmen Church, the historic resting place of Swedish monarchs. Having never married or fathered children, he was succeeded by his sister.",3,82,19
1895-03-05 00:00:00.000,"- 1895","Albert Severin Roche was born","France’s Albert Severin Roche became known as “The First Soldier” of France for his heroism and bravery. Despite his small stature and his peers’ scepticism, by the end of WW1 Albert had more than proved himself, having captured over 1,180 prisoners while fighting for the French Army.",5,19,25
1617-10-12 00:00:00.000,"- 1617","Gustavus Adolphus crowned","Gustavus Adolphus was perhaps Sweden’s greatest king: a pioneer of modern warfare and statesmanship who laid the foundations for the Swedish Empire and many elements of the modern Swedish state.",3,74,20
1891-03-09 00:00:00.000,"- 1891","Francis Pegahmagabow was born","Francis Pegahmagabow concluded WWI as one of only 37 Canadian soldiers to receive two bars on their Military Medals and was the most highly decorated aboriginal soldier in Canadian history. He was credited with 378 sniper kills and he captured over 300 prisoners.",5,20,27
1943-02-27 00:00:00.000,"- 1943","Operation Gunnerside","Operation Gunnerside was one of the most successful sabotage missions in history. By blowing up a production facility at Norway’s Vermork Hydroelectric Plant, the saboteurs thwarted Hitler’s efforts to produce the materials needed for an atomic bomb.",7,103,21
1973-10-05 00:00:00.000,"- 1973","Milunka Savić dies","A celebrated Serbian war hero, Milunka Savić is one of the world's most decorated female combatants who fought in both Balkan Wars and WWI. She is known for cutting off her hair and changing her appearance to look like a man in order to take her brother’s place in the army.",5,21,75
1631-09-17 00:00:00.000,"- 1631","Battle of Breitenfeld","Led by King Gustav II Adolf, the Swedish army took on the Catholic League and the Habsburg Imperial Army on September 17, 1631, in an open field near the village of Breitenfeld. After seven hours of battle, the Swedish-Saxon army was victorious.",3,75,22
