Song nr on album,Long length,AlbumID,SongID
"1","4:54:00",1,1
"1","4:54:00",3,1
"2","3:43:00",1,2
"1","3:43:00",2,2
"3","4:06:00",1,3
"4","3:29:00",1,4
"5","4:16:00",1,5
"6","3:17:00",1,6
"7","4:44:00",1,7
"8","4:12:00",1,8
"9","3:55:00",1,9
"10","5:39:00",1,10
"11","3:27:00",1,11
"1","3:36:00",4,12
"2","4:28:00",4,13
"7","4:28:00",15,13
"3","3:26:00",4,14
"6","3:26:00",7,14
"4","5:55:00",4,15
"11","5:55:00",21,15
"5","3:17:00",4,16
"9","3:17:00",15,16
"6","3:47:00",4,17
"7","3:47:00",7,17
"7","3:17:00",4,18
"5","3:17:00",15,18
"1","4:04:00",5,19
"2","3:25:00",5,20
"8","3:25:00",15,20
"3","3:03:00",5,21
"8","3:03:00",7,21
"4","3:26:00",5,22
"2","3:26:00",17,22
"5","4:11:00",5,23
"4","4:11:00",7,23
"6","3:02:00",5,24
"2","3:02:00",15,24
"7","3:31:00",5,25
"3","3:31:00",15,25
"1","4:38:00",6,26
"2","3:22:00",6,27
"6","3:22:00",15,27
"3","4:58:00",6,28
"3","4:58:00",7,28
"4","3:55:00",6,29
"2","3:55:00",13,29
"4","3:55:00",15,29
"5","3:26:00",6,30
"1","3:26:00",15,30
"6","3:56:00",6,31
"2","3:56:00",7,31
"1","4:37:00",7,32
"5","3:38:00",7,33
"9","4:13:00",7,34
"10","5:18:00",7,35
"11","4:14:00",7,36
"1","3:51:00",8,37
"1","4:04:00",9,38
"2","4:18:00",9,39
"1","4:09:00",10,40
"1","4:37:00",11,41
"1","4:36:00",12,42
"1","4:34:00",13,43
"1","5:53:00",14,44
"10","4:45:00",15,45
"11","1:56:00",15,46
"1","5:14:00",16,47
"1","4:45:00",17,48
"3","2:57:00",17,49
"4","0:52:00",17,50
"5","3:40:00",17,51
"6","3:29:00",17,52
"7","3:59:00",17,53
"8","3:31:00",17,54
"9","3:36:00",17,55
"10","3:54:00",17,56
"11","3:12:00",17,57
"12","3:56:00",17,58
"13","3:59:00",17,59
"1","3:01:00",18,60
"2","3:38:00",18,61
"3","3:15:00",18,62
"4","4:26:00",18,63
"5","3:27:00",18,64
"6","3:53:00",18,65
"7","3:27:00",18,66
"8","3:38:00",18,67
"9","3:47:00",18,68
"10","4:28:00",18,69
"11","3:41:00",18,70
"6","3:41:00",22,70
"12","3:48:00",18,71
"13","5:23:00",18,72
"1","0:29:00",19,73
"1","0:29:00",19,73
"2","4:43:00",19,74
"3","3:15:00",19,75
"4","5:45:00",19,76
"5","3:55:00",19,77
"6","6:14:00",19,78
"7","4:54:00",19,79
"8","4:25:00",19,80
"9","4:04:00",19,81
"10","4:10:00",19,82
"11","3:21:00",19,83
"11","3:21:00",19,83
"12","3:59:00",19,84
"13","3:58:00",19,85
"14","3:49:00",19,86
"2","4:43:00",19,87
"3","3:15:00",19,88
"4","5:45:00",19,89
"5","3:55:00",19,90
"6","6:14:00",19,91
"7","4:54:00",19,92
"8","4:25:00",19,93
"9","4:04:00",19,94
"10","4:10:00",19,95
"12","3:12:00",19,96
"1","3:35:00",20,97
"2","2:29:00",20,98
"3","4:56:00",20,99
"4","4:08:00",20,100
"5","4:57:00",20,101
"6","4:23:00",20,102
"7","3:16:00",20,103
"8","4:14:00",20,104
"9","4:10:00",20,105
"10","3:51:00",20,106
"11","3:33:00",20,107
"12","3:47:00",20,108
"13","4:10:00",20,109
"1","0:24:00",21,110
"2","3:51:00",21,111
"3","5:09:00",21,112
"4","4:11:00",21,113
"5","5:58:00",21,114
"6","1:19:00",21,115
"7","5:52:00",21,116
"8","3:32:00",21,117
"9","5:16:00",21,118
"10","4:05:00",21,119
"12","3:26:00",21,120
"13","0:37:00",21,121
"14","4:13:00",21,122
"15","3:19:00",21,123
"16","4:48:00",21,124
"17","2:35:00",21,125
"1","3:42:00",22,126
"2","3:48:00",22,126
"2","3:47:00",22,127
"3","4:06:00",22,128
"4","4:25:00",22,128
"4","3:28:00",22,129
"8","3:33:00",22,129
"5","5:09:00",22,130
"5","5:09:00",22,130
"7","4:52:00",22,131
"3","4:49:00",22,131
"8","3:39:00",22,132
"7","4:08:00",22,132
"9","3:08:00",22,133
"9","3:08:00",22,133
"10","3:45:00",22,134
"11","4:01:00",22,135
"10","4:00:00",22,135
"12","3:23:00",22,136
"13","3:12:00",22,137
"14","5:01:00",22,138
"15","4:25:00",22,139
"1","0:50:00",22,140
"6","5:50:00",22,141
"11","1:53:00",22,142
"12","4:52:00",22,143
"1","3:43:00",23,144
"2","4:09:00",23,145
"3","8:19:00",23,146
"4","4:06:00",23,147
"5","2:55:00",23,148
"6","5:57:00",23,149
"7","3:14:00",23,150
"8","4:52:00",23,151
"9","3:42:00",23,152
"10","4:36:00",23,153
"11","2:52:00",23,154
"12","6:12:00",23,155
"13","5:12:00",23,156
"14","4:11:00",23,157
"1","4:11:00",24,158
"2","3:52:00",24,159
"3","5:10:00",24,160
"4","5:56:00",24,161
"5","3:48:00",24,162
"6","5:18:00",24,163
"7","3:26:00",24,164
"8","5:08:00",24,165
"9","4:23:00",24,166
"10","1:22:00",24,167
"11","3:14:00",24,168
"12","4:08:00",24,169
"13","8:04:00",24,170
"14","3:12:00",24,171
"15","1:21:00",24,172
