Song,SongID,Song Uniform name
"Templars",1,"Templars"
"Hordes of Khan",2,"Hordes of Khan"
"A Tiger Among Dragons",3,"A Tiger Among Dragons"
"Crossing the Rubicon",4,"Crossing the Rubicon"
"I, Emperor",5,"I, Emperor"
"Maid of Steel",6,"Maid of Steel"
"Impaler",7,"Impaler"
"Lightning at the Gates",8,"Lightning at the Gates"
"The Duelist",9,"The Duelist"
"The Cycle of Songs",10,"The Cycle of Songs"
"Till Seger",11,"Till Seger"
"1916",12,"1916"
"Great War",13,"Great War"
"Hellfighters",14,"Hellfighters"
"The Price Of a Mile",15,"The Price Of a Mile"
"Fields Of Verdun",16,"Fields Of Verdun"
"Race To The Sea",17,"Race To The Sea"
"Devil Dogs",18,"Devil Dogs"
"The First Soldier",19,"The First Soldier"
"A Ghost In The Trenches",20,"A Ghost In The Trenches"
"Lady Of The Dark",21,"Lady Of The Dark"
"Last Dying Breath",22,"Last Dying Breath"
"The Unkillable Soldier",23,"The Unkillable Soldier"
"Seven Pillars Of Wisdom",24,"Seven Pillars Of Wisdom"
"82nd All The Way",25,"82nd All The Way"
"Father",26,"Father"
"The Red Baron",27,"The Red Baron"
"Dreadnought",28,"Dreadnought"
"The Attack Of The Dead Men",29,"The Attack Of The Dead Men"
"The Future Of Warfare",30,"The Future Of Warfare"
"Stormtroopers",31,"Stormtroopers"
"Sarajevo",32,"Sarajevo"
"Soldier Of Heaven",33,"Soldier Of Heaven"
"The Valley Of Death",34,"The Valley Of Death"
"Christmas Truce",35,"Christmas Truce"
"Versailles",36,"Versailles"
"Steel Commanders ft. Tina Guo",37,"Steel Commanders"
"Kingdom Come",38,"Kingdom Come"
"Metal Trilogy",39,"Metal Trilogy"
"Defence Of Moscow",40,"Defence Of Moscow"
"The Royal Guard",41,"The Royal Guard"
"Livgardet",42,"Livgardet"
"The Attack Of The Dead Men ft. Radio Tapok",43,"The Attack Of The Dead Men"
"Angels Calling ft. Apocalyptica",44,"Angels Calling"
"The End Of The War To End All Wars",45,"The End Of The War To End All Wars"
"In Flanders Fields",46,"In Flanders Fields"
"Bismarck",47,"Bismarck"
"Sparta",48,"Sparta"
"Blood of Bannockburn",49,"Blood of Bannockburn"
"Diary of an Unknown Soldier",50,"Diary of an Unknown Soldier"
"The Lost Battalion",51,"The Lost Battalion"
"Rorke's Drift",52,"Rorke's Drift"
"The Last Stand",53,"The Last Stand"
